Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude
32272243,12/25/2015 23:59,12/26/2015 1:58,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11378,60-71 60 ROAD,60 ROAD,60 LANE,FRESH POND ROAD,,,ADDRESS,MASPETH,Precinct,12/26/2015 7:59,12/26/2015 1:58,05 QUEENS,QUEENS,1011078,200193,QUEENS,40.7161196,-73.90322269
32272074,12/25/2015 23:58,12/30/2015 12:00,DSNY,BCC - Staten Island,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10304,51 COURSEN PLACE,COURSEN PLACE,PINE PLACE,DIX PLACE,,,ADDRESS,STATEN ISLAND,DSNY Garage,,12/30/2015 12:00,01 STATEN ISLAND,STATEN ISLAND,962301,165150,STATEN ISLAND,40.61994787,-74.07906309
32272301,12/25/2015 23:56,12/26/2015 5:32,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10304,51 COURSEN PLACE,COURSEN PLACE,PINE PLACE,DIX PLACE,,,ADDRESS,STATEN ISLAND,Precinct,12/26/2015 7:56,12/26/2015 5:32,01 STATEN ISLAND,STATEN ISLAND,962301,165150,STATEN ISLAND,40.61994787,-74.07906309
32272695,12/25/2015 23:56,12/26/2015 2:03,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10023,1855 BROADWAY,BROADWAY,WEST 60 STREET,WEST 61 STREET,,,ADDRESS,NEW YORK,Precinct,12/26/2015 7:56,12/26/2015 2:03,07 MANHATTAN,MANHATTAN,989202,219632,MANHATTAN,40.76951409,-73.98212221
32275089,12/25/2015 23:56,12/30/2015 8:44,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10016,471 3 AVENUE,3 AVENUE,,,,,ADDRESS,NEW YORK,N/A,,12/30/2015 8:44,06 MANHATTAN,MANHATTAN,990074,210530,MANHATTAN,40.74453089,-73.97898198
32272982,12/25/2015 23:55,12/26/2015 0:57,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11418,121-08 JAMAICA AVENUE,JAMAICA AVENUE,122 STREET,123 STREET,,,ADDRESS,RICHMOND HILL,Precinct,12/26/2015 7:55,12/26/2015 0:57,09 QUEENS,QUEENS,1031924,194546,QUEENS,40.70053218,-73.82806452
32272662,12/25/2015 23:54,1/29/2016 15:11,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10025,732 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,N/A,2/11/2016 9:16,1/29/2016 15:11,07 MANHATTAN,MANHATTAN,992408,228495,MANHATTAN,40.7938383,-73.97053709
32271634,12/25/2015 23:52,12/28/2015 15:42,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,51 UNIVERSITY PLACE,UNIVERSITY PLACE,EAST 9 STREET,EAST 10 STREET,,,ADDRESS,NEW YORK,N/A,1/8/2016 23:52,12/28/2015 15:42,02 MANHATTAN,MANHATTAN,985909,206140,MANHATTAN,40.73248319,-73.99401398
32275333,12/25/2015 23:51,12/28/2015 19:53,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,2074 WALLACE AVENUE,WALLACE AVENUE,,,,,ADDRESS,BRONX,N/A,,12/28/2015 19:53,11 BRONX,BRONX,1021636,249957,BRONX,40.85267001,-73.86485965
32273059,12/25/2015 23:51,12/28/2015 1:30,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11232,168 48 STREET,48 STREET,1 AVE,2 AVE,,,ADDRESS,BROOKLYN,N/A,,12/28/2015 1:30,07 BROOKLYN,BROOKLYN,979650,176343,BROOKLYN,40.65069627,-74.01657742
