name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
"""ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",75.03,"""35,777""","""35,794""",2.02E-04,0.01,1436.08,"""2,894""","""1,730""","""6,800 (EOL)""",1999-09-26,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"""28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.""",1
"""ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",116.54,"""35,785""","""35,789""",4.74E-05,1.86,1436.13,"""1,459""",800,"""1,600""",1996-01-14,10 yrs.,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,1996-003A,23768,Korean peninsula; 15 Ku-band transponders.,2
"""ABS-7 (Koreasat 3, Mugungwha 3)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",116.18,"""35,780""","""35,791""",1.30E-04,0.01,1436.06,"""3,500""","""1,800""","""4,800""",1999-09-04,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"""30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.""",3
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,"""NASA Goddard Space Flight Center, Jet Propulsion Laboratory""",Government,Solar Physics,LEO,Sun-Synchronous,0,682,727,3.18E-03,98.2,98.86,115,13,10,1999-12-21,5 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1999-070B,26033,Monitor total solar irradiance (TSI) with maximum precision; ascertain the extent of solar radiation variability.,4
"""AEHF-1 Advanced Extremely High Frequency satellite-1, USA 214)""",USA,US Air Force,Military,Communications,GEO,"",0,"""4,732""","""49,970""",6.71E-01,15.07,1027.47,"""6,169""","","",2010-08-14,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2010-039A,36868,"""Constellation of 3 plus 1; will replace the Milstar system. This satellite's main engine failed right after launch, stranding it in a transfer orbit. It may reach its GEO orbit by summer 2011.""",5
"""Africasat-1 (Measat 1, Malaysia East Asia Sat 1)""",Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,"",46.03,"""35,784""","""35,787""",3.56E-05,1.12,1436.06,"""1,450""",650,"""1,200 (BOL)""",1996-01-13,12.2 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-002B,23765,"""Inclined orbit; digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 12 C-band, 5 Ku-band.""",6
Afristar ,USA,1Worldspace,Commercial,Communications,GEO,"",20.97,"""35,770""","""35,802""",3.80E-04,0.03,1436.09,"""2,704""","""1,530""","""5,500""",1998-10-28,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"""First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.""",7
"""Agila 2/ABS-5 (Agila 2, Mabuhay 1)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",146.06,"""35,769""","""35,802""",3.91E-04,0.05,1436.07,"""3,775""","""1,800""","""9,000""",1997-08-19,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,"""Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.""",8
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),Italy,Italian Space Agency,Government,Scientific Research,LEO,"",0,523,553,2.17E-03,2.47,95.4,325,"","",2007-04-23,3 yrs.,CarloæGavazziæSpace,Italy,Satish Dhawan Space Center,PSLV C8,2007-013A,31135,Italian gamma ray observatory.,9
AIM (Aeronomy of Ice in Mesosphere),USA,"""Center for Atmospheric Sciences, Hampton University/NASA""",Government,Earth Science,LEO,"",0,586,601,1.08E-03,97.79,96.55,215,197,216,2007-04-25,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,10
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Space CentreNorwegian Defence Research Establishment (FFI),Government,Technology Development,LEO,Sun-Synchronous,0,619,636,1.21E-03,98.15,97.26,6,"","",2010-07-12,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,11
Akebono (EXOS-D),Japan,"""Institute of Space and Aeronautical Science, University of Tokyo""",Civil,Space Physics,Elliptical,"",0,264,"""5,732""",2.92E-01,75.1,150.4,"",294,270 (EOL),1989-02-21,1 yr.,"""Institute of Space and Aeronautical Science, University of Tokyo""",Japan,Uchinoura Space Center,Mu 3S2,1989-016A,19822,Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.,12
Alsat-2A (Algeria Satellite 2A),Algeria,Centre National des Techniques Spatiales (CNTS),Government,Earth Observation,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.23,98.21,130,"","",2010-07-12,5 yrs.,EADS Astrium,France/UK/German/Spain,Sriharikota Launch Station,PSLV,2010-035D,36798,"""The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.""",13
Amazonas ,Brazil,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,"",-61.02,"""35,776""","""35,797""",2.49E-04,0.04,1436.1,"""4,545""","""2,000""","""9,500 (EOL)""",2004-08-04,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393,"""36 Ku-band, 27 C-band transponders; North and South American continents; Spanish language; leak detected - may not have enough fuel for 15-year life.""",14
Amazonas-2,Spain,Hispasat,Commercial,Communications,GEO,"",-61,"""35,767""","""35,805""",4.51E-04,0.03,1436.08,"""5,465""","","""15,300""",2009-10-01,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"""54 Ku-band, 10 C-band transponders; North, Central and South America.""",15
"""AMC-1 (Americom 1, GE-1)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-103.02,"""35,772""","""35,800""",3.32E-04,0.03,1436.1,"""2,783""","""1,600""","""6,500 (EOL)""",1996-09-08,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"""Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean""",16
"""AMC-10 (Americom-10, GE 10)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-134.97,"""35,775""","""35,797""",2.61E-04,0.01,1436.09,"""2,315""",907,"""6,500 (EOL)""",2004-02-05,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,17
"""AMC-11 (Americom-11, GE 11)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-130.93,"""35,774""","""35,797""",2.73E-04,0.04,1436.07,"""2,340""","""2,316 (BOL)""","""6,500 (EOL)""",2004-05-19,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,18
AMC-15 (Americom-15),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-105.04,"""35,777""","""35,795""",2.13E-04,0.04,1436.08,"""4,200""","","",2004-10-14,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"""Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.""",19
AMC-16 (Americom-16),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-84.98,"""35,780""","""35,793""",1.54E-04,0.02,1436.1,"""4,312""","","",2004-12-17,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"""Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.""",20
AMC-18 (Americom 18),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-104.97,"""35,773""","""35,800""",3.20E-04,0.06,1436.1,"""2,081""",918,"",2006-12-08,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,21
