Summary,Benefit,Alignment,RiskMitigated,MitigatedSupportRequirement,MitigatedImplementationRisk,SkillsAlignment,ResourceAffordances,TierWeight
Workday HCM and Finance Implementation,100,60,40,75,75,0,0,100
Tenlegs Global Configurations,80,100,80,25,50,25,0,90
Heartland Implementation,80,20,40,100,75,25,0,90
Classroom AV Rack Upgrades,60,40,80,75,75,100,75,70
Tenlegs | Career Services,80,100,100,0,25,50,75,60
PCI Setup for University Center,80,20,40,0,50,75,75,60
Sunapsis International Student Application,80,60,80,0,50,50,50,60
Aruba Controller Upgrades,80,60,40,0,63,75,75,50
Destiny One,60,40,80,50,50,50,50,65
iSight System Implementation,80,40,60,25,25,50,75,50
Tenlegs Parent Portal,80,60,60,25,0,75,75,40
Redundant Internet Connection,60,40,80,25,75,75,50,60
AV Rack Digital Upgrade,60,40,60,50,75,100,0,50
Friends and Alumni Cards,60,20,60,25,25,75,50,50
Web Video Conference Software,80,80,80,50,25,100,100,30
Summer Upgrades 2016,40,40,80,75,75,75,25,60
Landesk Inventory,40,20,20,75,25,75,100,38
CapGown Order Streamlining,60,40,60,25,88,100,75,40
NTR Projections Datamart and Reporting Phase II,40,20,60,0,0,100,50,40
LaptopsAnyTime,80,60,100,75,25,50,50,30
PCI Compliance,60,20,60,0,75,75,100,30
Digital Bulletin Boards,80,40,100,75,50,50,75,30
79 Fifth to Fiber Ring,20,40,60,25,50,100,50,30
Oracle Application Server upgrade,0,20,20,0,75,75,100,20
Parsons WP Blog Server Migration,60,60,80,50,0,100,100,0
LSO Printer Release Station Deployment,40,20,80,75,50,50,100,20
Outsourcing HP Printer Maintenance,40,20,80,25,50,50,75,10
AR_BALANCE Role Deployment,20,0,80,0,0,75,100,0
