Country,2011,2012,2013,2014,2015
Governmentwide,67,65,64,63,64
Broadcasting Board of Governors,57,56,58,56,58
Court Services and Offender Supervision Agency,70,67,65,63,68
Department of Agriculture,65,63,63,63,64
Department of Commerce,70,70,70,70,68
Department of Defense,68,67,65,64,65
Department of Education,64,65,66,67,68
Department of Energy,63,65,64,61,64
Department of Health and Human Services,65,66,66,66,68
Department of Homeland Security,60,58,56,54,53
Department of Housing and Urban Development,61,62,57,57,62
Department of Justice,69,67,66,66,68
Department of Labor,64,64,62,64,67
Department of State,72,71,69,70,70
Department of the Interior,64,64,62,61,62
Department of the Treasury,70,69,67,66,66
Department of Transportation,63,64,65,64,66
Department of Veterans Affairs,65,62,63,61,61
Environmental Protection Agency,67,68,64,63,63
Equal Employment Opportunity Commission,65,67,65,65,67
Federal Communications Commission,69,69,73,70,66
Federal Energy Regulatory Commission,71,70,73,74,76
Federal Trade Commission,76,74,75,76,78
General Services Administration,71,69,69,68,69
National Aeronautics and Space Administration,75,76,77,77,78
National Archives and Records Administration,62,59,60,59,63
National Credit Union Administration,68,73,70,72,72
National Labor Relations Board,66,65,64,64,68
National Science Foundation,67,65,68,69,70
Nuclear Regulatory Commission,79,76,75,75,75
Office of Management and Budget,63,73,68,73,78
Office of Personnel Management,72,71,72,72,71
Pension Benefit Guaranty Corporation,69,67,64,65,69
Railroad Retirement Board,66,68,69,68,69
Securities and Exchange Commission,61,62,62,66,68
Small Business Administration,65,64,65,62,60
Social Security Administration,72,69,67,66,68
U.S. Agency for International Development,65,67,66,64,67
